Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
1062, 1513594712,        482
1063, 1513594713,        588
1064, 1513594714,         13
1065, 1513594715,       2553
1066, 1513594716,          7
1067, 1513594717,          5
1068, 1513594718,       1557
1069, 1513594719,       1081
1070, 1513594720,       3425
1071, 1513594721,        179
1072, 1513594722,       2592
1073, 1513594723,       5634
1074, 1513594724,       5854
1075, 1513594725,       3732
1076, 1513594726,       2423
1077, 1513594727,       3904
1078, 1513594728,       1801
1079, 1513594729,       1687
1080, 1513594730,       1053
1081, 1513594731,        475
1082, 1513594732,        703
1083, 1513594733,        762
1084, 1513594734,        382
1085, 1513594735,       2678
1086, 1513594736,        365
1087, 1513594737,         47
1088, 1513594738,       3200
1089, 1513594739,         19
1090, 1513594740,         49
1091, 1513594741,        324
1092, 1513594742,          7
1093, 1513594743,        360
1094, 1513594744,       1082
1095, 1513594745,        240
1096, 1513594746,       3929
1097, 1513594747,          7
1098, 1513594748,       2353
1099, 1513594749,       4327
1100, 1513594750,       5948
1101, 1513594751,       4779
1102, 1513594752,       1705
1103, 1513594753,       3349
1104, 1513594754,       1771
1105, 1513594755,       1401
1106, 1513594756,       1434
1107, 1513594757,        590
1108, 1513594758,        471
1109, 1513594759,        558
1110, 1513594760,         47
1111, 1513594761,        300
1112, 1513594762,        408
1113, 1513594763,          7
1114, 1513594764,       3055
1115, 1513594765,       1556
1116, 1513594766,       1984
1117, 1513594767,       3723
1118, 1513594768,       1691
1119, 1513594769,       4958
1120, 1513594770,       4213
1121, 1513594771,       4274
1122, 1513594772,       3537
1123, 1513594773,       2897
1124, 1513594774,       3455
1125, 1513594775,        854
1126, 1513594776,       1156
1127, 1513594777,        951
1128, 1513594778,        302
1129, 1513594779,        950
1130, 1513594780,        134
1131, 1513594781,        241
1132, 1513594782,       1311
1133, 1513594783,         15
1134, 1513594784,         13
1135, 1513594785,          4
1136, 1513594786,       1965
1137, 1513594787,         42
1138, 1513594788,         48
1139, 1513594789,          6
1140, 1513594790,          7
1141, 1513594791,        190
1142, 1513594792,        405
